0_0: Phy0010FR9_ACYPI
1_338: Phy007AT2R_MYZPE
1_339: Phy007AY65_MYZPE
1_340: Phy007ATV6_MYZPE
1_341: Phy007AQA4_MYZPE
1_342: Phy007AT6Q_MYZPE
1_343: Phy007AVZX_MYZPE
1_344: Phy007AN1F_MYZPE
1_345: Phy007APPJ_MYZPE
1_346: Phy007AXQD_MYZPE
1_347: Phy007AMA4_MYZPE
1_348: Phy007AQI7_MYZPE
1_349: Phy007ANSG_MYZPE
1_350: Phy007AVIO_MYZPE
1_351: Phy007AQQO_MYZPE
1_352: Phy007AXYQ_MYZPE
1_353: Phy007AR10_MYZPE
1_354: Phy007APYC_MYZPE
1_355: Phy007AUHV_MYZPE
1_356: Phy007ANB5_MYZPE
1_357: Phy007AZJ2_MYZPE
1_358: Phy007AM3U_MYZPE
1_359: Phy007AMNM_MYZPE
1_360: Phy007AO8I_MYZPE
1_361: Phy007AWBD_MYZPE
1_362: Phy007AVLR_MYZPE
1_363: Phy007AXG7_MYZPE
1_364: Phy007AYEX_MYZPE
1_365: Phy007ATAZ_MYZPE
1_366: Phy007AYCZ_MYZPE
1_367: Phy007AV43_MYZPE
1_368: Phy007AWDM_MYZPE
1_369: Phy007ATT1_MYZPE
1_370: Phy007AWWK_MYZPE
1_371: Phy007AQPV_MYZPE
1_372: Phy007ANBD_MYZPE
1_373: Phy007AQBP_MYZPE
1_374: Phy007AVYH_MYZPE
1_375: Phy007AV27_MYZPE
1_376: Phy007AYFN_MYZPE
1_377: Phy007AZIM_MYZPE
1_378: Phy007AWFN_MYZPE
1_379: Phy007ANOU_MYZPE
1_380: Phy007APIB_MYZPE
1_381: Phy007AN0I_MYZPE
1_382: Phy007AVA2_MYZPE
1_383: Phy007AU5I_MYZPE
1_384: Phy007AQID_MYZPE
1_385: Phy007ARYE_MYZPE
1_386: Phy007AWKM_MYZPE
1_387: Phy007AQ9I_MYZPE
1_388: Phy007AQP1_MYZPE
1_389: Phy007AWKY_MYZPE
1_390: Phy007AQLC_MYZPE
1_391: Phy007AXIC_MYZPE
1_392: Phy007ANX6_MYZPE
1_393: Phy007ALVA_MYZPE
1_394: Phy007AX06_MYZPE
1_395: Phy007ASCW_MYZPE
1_396: Phy007AYZS_MYZPE
1_397: Phy007AZV5_MYZPE
1_398: Phy007AX2S_MYZPE
1_399: Phy007AMEX_MYZPE
1_400: Phy007AZSS_MYZPE
1_401: Phy007ASS3_MYZPE
1_402: Phy007AV29_MYZPE
1_403: Phy007AMQ3_MYZPE
1_404: Phy007ANP1_MYZPE
1_405: Phy007AMVU_MYZPE
1_406: Phy007AOQ7_MYZPE
1_407: Phy007AUQL_MYZPE
1_408: Phy007ANV5_MYZPE
1_409: Phy007ANU1_MYZPE
1_410: Phy007AVO4_MYZPE
1_411: Phy007AORD_MYZPE
1_412: Phy007ALSG_MYZPE
1_413: Phy007AOWM_MYZPE
1_414: Phy007AVUQ_MYZPE
1_415: Phy007AWP1_MYZPE
1_416: Phy007ATZU_MYZPE
1_417: Phy007ATFD_MYZPE
1_418: Phy007AT8M_MYZPE
1_419: Phy007AVAQ_MYZPE
1_420: Phy007AN85_MYZPE
1_421: Phy007ARSF_MYZPE
1_422: Phy007ATQ2_MYZPE
1_423: Phy007ATV9_MYZPE
1_424: Phy007ARCO_MYZPE
1_425: Phy007AXIQ_MYZPE
1_426: Phy007AVC6_MYZPE
1_427: Phy007AQG0_MYZPE
1_428: Phy007ATFF_MYZPE
1_429: Phy007ASLM_MYZPE
1_430: Phy007AWWE_MYZPE
1_431: Phy007AYVO_MYZPE
1_432: Phy007AV73_MYZPE
2_0: Phy00DEX1J_SIPHA
2_1: Phy00DEV83_SIPHA
2_2: Phy00DEV3H_SIPHA
2_3: Phy00DEUG4_SIPHA
2_4: Phy00DETU9_SIPHA
2_5: Phy00DEZN9_SIPHA
2_6: Phy00DF4CA_SIPHA
2_7: Phy00DF0OR_SIPHA
2_8: Phy00DEYIZ_SIPHA
2_9: Phy00DESV9_SIPHA
2_10: Phy00DEYVD_SIPHA
2_11: Phy00DF4AX_SIPHA
2_12: Phy00DF4QL_SIPHA
2_13: Phy00DF2CC_SIPHA
2_14: Phy00DF42L_SIPHA
2_15: Phy00DESYY_SIPHA
2_16: Phy00DF3AO_SIPHA
2_17: Phy00DEYC0_SIPHA
2_18: Phy00DEY5D_SIPHA
2_19: Phy00DF08X_SIPHA
2_20: Phy00DF2C9_SIPHA
2_21: Phy00DEZ43_SIPHA
2_22: Phy00DF3MQ_SIPHA
2_23: Phy00DEZAC_SIPHA
2_24: Phy00DEWXO_SIPHA
2_25: Phy00DEVB9_SIPHA
2_26: Phy00DEW0D_SIPHA
2_27: Phy00DEZSH_SIPHA
2_28: Phy00DEW20_SIPHA
2_29: Phy00DF3PY_SIPHA
2_30: Phy00DF018_SIPHA
2_31: Phy00DF3BN_SIPHA
2_32: Phy00DEYUA_SIPHA
2_33: Phy00DF1D6_SIPHA
2_34: Phy00DF07G_SIPHA
2_35: Phy00DET9I_SIPHA
2_36: Phy00DF03Q_SIPHA
2_37: Phy00DEWTY_SIPHA
2_38: Phy00DEVHC_SIPHA
2_39: Phy00DF3F3_SIPHA
2_40: Phy00DEXA7_SIPHA
2_41: Phy00DF1HU_SIPHA
2_42: Phy00DEXL1_SIPHA
2_43: Phy00DET0Q_SIPHA
2_44: Phy00DF4UU_SIPHA
2_45: Phy00DF5JS_SIPHA
2_46: Phy00DF5DG_SIPHA
2_47: Phy00DF4BA_SIPHA
2_48: Phy00DESUR_SIPHA
2_49: Phy00DESFS_SIPHA
2_50: Phy00DEXS0_SIPHA
2_51: Phy00DEXCF_SIPHA
2_52: Phy00DF0DW_SIPHA
2_53: Phy00DF26R_SIPHA
2_54: Phy00DF30A_SIPHA
2_55: Phy00DEV8L_SIPHA
2_56: Phy00DEU3Q_SIPHA
2_57: Phy00DESXU_SIPHA
2_58: Phy00DF4TS_SIPHA
2_59: Phy00DEUAK_SIPHA
2_60: Phy00DET8P_SIPHA
2_61: Phy00DETPW_SIPHA
2_62: Phy00DESRV_SIPHA
2_63: Phy00DF5UO_SIPHA
2_64: Phy00DEU7M_SIPHA
2_65: Phy00DEWP6_SIPHA
2_66: Phy00DEXUE_SIPHA
2_67: Phy00DEWDE_SIPHA
2_68: Phy00DEXAJ_SIPHA
2_69: Phy00DF5OB_SIPHA
2_70: Phy00DEZ6O_SIPHA
2_71: Phy00DF0M8_SIPHA
2_72: Phy00DEUB1_SIPHA
2_73: Phy00DEUZC_SIPHA
2_74: Phy00DETB5_SIPHA
2_75: Phy00DEXLY_SIPHA
2_76: Phy00DEZMZ_SIPHA
2_77: Phy00DEZM1_SIPHA
2_78: Phy00DEUUY_SIPHA
2_79: Phy00DEYMG_SIPHA
2_80: Phy00DF4OS_SIPHA
2_81: Phy00DF5K1_SIPHA
2_82: Phy00DF43E_SIPHA
2_83: Phy00DEW9T_SIPHA
2_84: Phy00DF00O_SIPHA
2_85: Phy00DEXWB_SIPHA
2_86: Phy00DF4ZP_SIPHA
2_87: Phy00DESTO_SIPHA
2_88: Phy00DEZ6C_SIPHA
2_89: Phy00DF1EY_SIPHA
2_90: Phy00DF0EF_SIPHA
2_91: Phy00DEXOB_SIPHA
2_92: Phy00DF1DH_SIPHA
2_93: Phy00DF0P2_SIPHA
2_94: Phy00DEZA3_SIPHA
2_95: Phy00DF15K_SIPHA
2_96: Phy00DF407_SIPHA
2_97: Phy00DF0LU_SIPHA
2_98: Phy00DEWLX_SIPHA
2_99: Phy00DEZZ6_SIPHA
2_100: Phy00DEZE1_SIPHA
2_101: Phy00DESR8_SIPHA
2_102: Phy00DF4RX_SIPHA
2_103: Phy00DEYCM_SIPHA
2_104: Phy00DF1G4_SIPHA
2_105: Phy00DF2FX_SIPHA
2_106: Phy00DESHO_SIPHA
2_107: Phy00DEZUD_SIPHA
2_108: Phy00DF5PV_SIPHA
2_109: Phy00DEY7H_SIPHA
2_110: Phy00DEW00_SIPHA
2_111: Phy00DEWPO_SIPHA
2_112: Phy00DF21Z_SIPHA
2_113: Phy00DF4A7_SIPHA
2_114: Phy00DF0KM_SIPHA
2_115: Phy00DETT3_SIPHA
2_116: Phy00DEWK8_SIPHA
2_117: Phy00DF5ZO_SIPHA
2_118: Phy00DEVVJ_SIPHA
2_119: Phy00DEZTS_SIPHA
2_120: Phy00DF4Q9_SIPHA
2_121: Phy00DF5OH_SIPHA
2_122: Phy00DF0M5_SIPHA
2_123: Phy00DF5OU_SIPHA
2_124: Phy00DEVIV_SIPHA
2_125: Phy00DEUC9_SIPHA
2_126: Phy00DF1EO_SIPHA
2_127: Phy00DF0JU_SIPHA
2_128: Phy00DF24V_SIPHA
2_129: Phy00DEZSP_SIPHA
2_130: Phy00DEUUA_SIPHA
2_131: Phy00DEUL9_SIPHA
2_132: Phy00DEYDN_SIPHA
2_133: Phy00DF1JF_SIPHA
2_134: Phy00DEZEU_SIPHA
2_135: Phy00DF1QQ_SIPHA
2_136: Phy00DF5GT_SIPHA
2_137: Phy00DF06Z_SIPHA
2_138: Phy00DEW2K_SIPHA
2_139: Phy00DESUE_SIPHA
2_140: Phy00DET4J_SIPHA
2_141: Phy00DEYPO_SIPHA
2_142: Phy00DEYGN_SIPHA
2_143: Phy00DF5Q7_SIPHA
2_144: Phy00DF06X_SIPHA
2_145: Phy00DETBZ_SIPHA
2_146: Phy00DF167_SIPHA
2_147: Phy00DEUH3_SIPHA
2_148: Phy00DF19N_SIPHA
2_149: Phy00DEYWF_SIPHA
2_150: Phy00DF0CT_SIPHA
2_151: Phy00DF2M6_SIPHA
2_152: Phy00DEUHN_SIPHA
2_153: Phy00DF5Z6_SIPHA
2_154: Phy00DF2CF_SIPHA
2_155: Phy00DEYGR_SIPHA
2_156: Phy00DEZVR_SIPHA
2_157: Phy00DF2AK_SIPHA
2_158: Phy00DF0EV_SIPHA
2_159: Phy00DEV95_SIPHA
2_160: Phy00DF36F_SIPHA
2_161: Phy00DEUCC_SIPHA
2_162: Phy00DETVS_SIPHA
2_163: Phy00DEWR4_SIPHA
2_164: Phy00DEZ7H_SIPHA
2_165: Phy00DF090_SIPHA
2_166: Phy00DEU7J_SIPHA
2_167: Phy00DETQH_SIPHA
2_168: Phy00DEV1O_SIPHA
2_169: Phy00DF2GH_SIPHA
2_170: Phy00DF5L0_SIPHA
2_171: Phy00DEYUT_SIPHA
2_172: Phy00DEZDA_SIPHA
2_173: Phy00DF17Y_SIPHA
2_174: Phy00DESLW_SIPHA
2_175: Phy00DEUK5_SIPHA
2_176: Phy00DF2TS_SIPHA
2_177: Phy00DEST5_SIPHA
2_178: Phy00DEWSO_SIPHA
2_179: Phy00DEY36_SIPHA
2_180: Phy00DEXGZ_SIPHA
2_181: Phy00DF3FE_SIPHA
2_182: Phy00DEUH7_SIPHA
2_183: Phy00DEWKS_SIPHA
2_184: Phy00DF0BL_SIPHA
2_185: Phy00DEVFR_SIPHA
2_186: Phy00DF50P_SIPHA
2_187: Phy00DEVJZ_SIPHA
2_188: Phy00DF038_SIPHA
2_189: Phy00DEU9W_SIPHA
2_190: Phy00DF2F2_SIPHA
2_191: Phy00DF362_SIPHA
2_192: Phy00DEZGR_SIPHA
2_193: Phy00DEYAH_SIPHA
2_194: Phy00DEY57_SIPHA
2_195: Phy00DF632_SIPHA
2_196: Phy00DEXU9_SIPHA
2_197: Phy00DEUAL_SIPHA
2_198: Phy00DF3OW_SIPHA
2_199: Phy00DEZDV_SIPHA
2_200: Phy00DEX0L_SIPHA
2_201: Phy00DEYB1_SIPHA
2_202: Phy00DF0UQ_SIPHA
2_203: Phy00DEU9L_SIPHA
2_204: Phy00DEUBD_SIPHA
2_205: Phy00DF16W_SIPHA
2_206: Phy00DEY7Y_SIPHA
2_207: Phy00DEX0O_SIPHA
2_208: Phy00DF4HV_SIPHA
2_209: Phy00DF0JM_SIPHA
2_210: Phy00DF0QP_SIPHA
2_211: Phy00DF4E9_SIPHA
2_212: Phy00DF1V7_SIPHA
2_213: Phy00DF4DC_SIPHA
2_214: Phy00DF39N_SIPHA
2_215: Phy00DEXBX_SIPHA
2_216: Phy00DF29J_SIPHA
2_217: Phy00DF20W_SIPHA
2_218: Phy00DF34V_SIPHA
2_219: Phy00DF0S9_SIPHA
2_220: Phy00DEY78_SIPHA
2_221: Phy00DF0QK_SIPHA
2_222: Phy00DESKO_SIPHA
2_223: Phy00DF2XL_SIPHA
2_224: Phy00DF52O_SIPHA
2_225: Phy00DF5E5_SIPHA
2_226: Phy00DESK1_SIPHA
2_227: Phy00DEWLW_SIPHA
2_228: Phy00DEX8W_SIPHA
2_229: Phy00DEUBU_SIPHA
2_230: Phy00DF0Y6_SIPHA
2_231: Phy00DF04V_SIPHA
2_232: Phy00DEZG5_SIPHA
2_233: Phy00DF4FL_SIPHA
2_234: Phy00DEXGH_SIPHA
2_235: Phy00DEZNC_SIPHA
2_236: Phy00DEYN8_SIPHA
2_237: Phy00DF03W_SIPHA
2_238: Phy00DET01_SIPHA
2_239: Phy00DEY7J_SIPHA
2_240: Phy00DEXBL_SIPHA
2_241: Phy00DF40V_SIPHA
2_242: Phy00DES6K_SIPHA
2_243: Phy00DF0NU_SIPHA
2_244: Phy00DEZB6_SIPHA
2_245: Phy00DF1XS_SIPHA
2_246: Phy00DF2N7_SIPHA
2_247: Phy00DF1YQ_SIPHA
2_248: Phy00DF0WT_SIPHA
2_249: Phy00DF0MT_SIPHA
2_250: Phy00DEYQ4_SIPHA
2_251: Phy00DEU8Y_SIPHA
2_252: Phy00DF1DQ_SIPHA
2_253: Phy00DF13B_SIPHA
2_254: Phy00DF38O_SIPHA
2_255: Phy00DEYG8_SIPHA
2_256: Phy00DEU8W_SIPHA
2_257: Phy00DF3YL_SIPHA
2_258: Phy00DF3LA_SIPHA
2_259: Phy00DF4UK_SIPHA
2_260: Phy00DEUDP_SIPHA
2_261: Phy00DEUA6_SIPHA
2_262: Phy00DEV55_SIPHA
2_263: Phy00DEUUH_SIPHA
2_264: Phy00DEWA6_SIPHA
2_265: Phy00DEZ7G_SIPHA
2_266: Phy00DETWO_SIPHA
2_267: Phy00DF1MC_SIPHA
2_268: Phy00DF5IG_SIPHA
2_269: Phy00DEZ77_SIPHA
2_270: Phy00DEZY3_SIPHA
2_271: Phy00DF3OG_SIPHA
2_272: Phy00DEVZN_SIPHA
2_273: Phy00DF5BG_SIPHA
2_274: Phy00DF07M_SIPHA
2_275: Phy00DEWZZ_SIPHA
2_276: Phy00DF64F_SIPHA
2_277: Phy00DEYBE_SIPHA
2_278: Phy00DF2HA_SIPHA
2_279: Phy00DEZTM_SIPHA
2_280: Phy00DEUUS_SIPHA
2_281: Phy00DEYBX_SIPHA
2_282: Phy00DF0HW_SIPHA
2_283: Phy00DEXGO_SIPHA
2_284: Phy00DEZPM_SIPHA
2_285: Phy00DF4CQ_SIPHA
2_286: Phy00DEWBG_SIPHA
2_287: Phy00DF4MN_SIPHA
2_288: Phy00DESKD_SIPHA
2_289: Phy00DF3HW_SIPHA
2_290: Phy00DF31V_SIPHA
2_291: Phy00DF1KP_SIPHA
2_292: Phy00DETEO_SIPHA
2_293: Phy00DEW6N_SIPHA
2_294: Phy00DEW6S_SIPHA
2_295: Phy00DF3LS_SIPHA
2_296: Phy00DF0RA_SIPHA
2_297: Phy00DEZLX_SIPHA
2_298: Phy00DF3EK_SIPHA
2_299: Phy00DEUUV_SIPHA
2_300: Phy00DF3XC_SIPHA
2_301: Phy00DF058_SIPHA
2_302: Phy00DET9L_SIPHA
2_303: Phy00DF560_SIPHA
2_304: Phy00DEZ55_SIPHA
2_305: Phy00DEUYJ_SIPHA
2_306: Phy00DESPW_SIPHA
2_307: Phy00DF5NL_SIPHA
2_308: Phy00DEYQ9_SIPHA
2_309: Phy00DF0KK_SIPHA
2_310: Phy00DEYZL_SIPHA
2_311: Phy00DEWJ9_SIPHA
2_312: Phy00DEW6B_SIPHA
2_313: Phy00DEW6H_SIPHA
2_314: Phy00DF03O_SIPHA
2_315: Phy00DEUPN_SIPHA
2_316: Phy00DEWPF_SIPHA
2_317: Phy00DF4LK_SIPHA
2_318: Phy00DF3SE_SIPHA
2_319: Phy00DEUD2_SIPHA
2_320: Phy00DF0KI_SIPHA
2_321: Phy00DF4VN_SIPHA
2_322: Phy00DEY74_SIPHA
2_323: Phy00DESNJ_SIPHA
2_324: Phy00DF3GR_SIPHA
2_325: Phy00DEWZG_SIPHA
2_326: Phy00DEV9R_SIPHA
2_327: Phy00DEY3S_SIPHA
2_328: Phy00DEVP9_SIPHA
2_329: Phy00DESPS_SIPHA
2_330: Phy00DEZ3A_SIPHA
2_331: Phy00DEZHJ_SIPHA
2_332: Phy00DEUAQ_SIPHA
2_333: Phy00DEYHH_SIPHA
2_334: Phy00DEYJC_SIPHA
2_335: Phy00DF3P2_SIPHA
2_336: Phy00DF0IX_SIPHA
2_337: Phy00DESZ8_SIPHA
2_338: Phy00DF3VP_SIPHA
2_339: Phy00DEYZF_SIPHA
2_340: Phy00DF4UJ_SIPHA
2_341: Phy00DET5N_SIPHA
2_342: Phy00DETAT_SIPHA
2_343: Phy00DEZ95_SIPHA
2_344: Phy00DEWI7_SIPHA
2_345: Phy00DEXCW_SIPHA
2_346: Phy00DF102_SIPHA
2_347: Phy00DF3DQ_SIPHA
2_348: Phy00DF4JS_SIPHA
2_349: Phy00DF1YD_SIPHA
